business_name	,Open /Closed,Street Number,Street Name 1,Street Name 2,business_phone_number	,website,Facebook,Instagram,long_business_description,"Restaurants, Food & Drink, Grocery / Convenience Stores",Stores & Shopping,"Medical, Health, Wellness & Fitness",Arts & Entertainment,"Automotive, Contractors & Construction Materials",Hair & Nails,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",business_address,zip_code,business_website_address,,,,business_genre,business_contact_email
South Street Nails Salon,,2208,South Street,"Philadelphia, PA 19146",(215) 893-3636,yelp.com/biz/south-street-nails-philadelphia-4,facebook.com/pages/category/Nail-Salon/South-Street-Nails-Salon-185362618572074/,,Nail Salon,,,,,,X,,2208 South Street,"Philadelphia, PA 19146",yelp.com/biz/south-street-nails-philadelphia-4,,,,Hair & Nails,","
Pink Nails & Spa,,2401,South Street,"Philadelphia, PA 19146",(267) 273-1225,,,,Nail Salon,,,,,,X,,2401 South Street,"Philadelphia, PA 19146",,,,,Hair & Nails,","
Catharine Park,,2200,Catharine Street,"Philadelphia, PA 19146",(215) 732-8446,catharinepark.org/,facebook.com/CatharineParkPhilly/,instagram.com/catharineparkphilly/,Park / Recreation,,,,,,,X,2200 Catharine Street,"Philadelphia, PA 19146",catharinepark.org/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Julian Abele Park,,917,S 22nd Street,"Philadelphia, PA 19146",(215) 683-3679,julianabelepark.org/,facebook.com/FOJAB/?ref=br_rs,,Park / Recreation,,,,,,,X,917 S 22nd Street,"Philadelphia, PA 19146",julianabelepark.org/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Chew Playground,,1820,Washington Avenue,"Philadelphia, PA 19146",(215) 685-6596,phila.gov/parks-rec-finder/#/location/charles-h-chew-sr-playground/56a8f8587a8cee5e3a25b027,facebook.com/pages/Chews-Playground/100168823400152,,Park / Recreation,,,,,,,X,1820 Washington Avenue,"Philadelphia, PA 19146",phila.gov/parks-rec-finder/#/location/charles-h-chew-sr-playground/56a8f8587a8cee5e3a25b027,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
O'Conner Pool,,2601,South Street,"Philadelphia, PA 19146",(215) 685-6593,markwardplayground.com/pool.html,facebook.com/pages/OConnor-Pool/439708396062722,,Park / Recreation (Pool),,,,,,,X,2601 South Street,"Philadelphia, PA 19146",markwardplayground.com/pool.html,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
South Street Parking,,1418,South Street,"Philadelphia, PA 19146",(215) 545-0748,,,,Parking,,,,,,,X,1418 South Street,"Philadelphia, PA 19146",,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
E Z PARKS INC,,1441,South Street,"Philadelphia, PA 19146",(215) 733-0700,ezparkinc.com/,,,Parking,,,,,,,X,1441 South Street,"Philadelphia, PA 19146",ezparkinc.com/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
South Street Parking Garage,,1700,South Street,"Philadelphia, PA 19146",(215) 985-2277,,,,Parking,,,,,,,X,1700 South Street,"Philadelphia, PA 19146",,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Marian Anderson Park / Recreation Center,,740,S 17th Street,"Philadelphia, PA 19146",(215) 685-6594,phila.gov/parks-rec-finder/#/location/marian-anderson-recreation-center/56a8f86e7a8cee5e3a25b0d5,facebook.com/marianandersonrec/?ref=br_rs,,Parks and Recreation,,,,,,,X,740 S 17th Street,"Philadelphia, PA 19146",phila.gov/parks-rec-finder/#/location/marian-anderson-recreation-center/56a8f86e7a8cee5e3a25b0d5,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Unleashed by Petco,,520,S 23rd Street,"Philadelphia, PA 19146",(215) 732-1267,stores.petco.com/pa/philadelphia/pet-supplies-philadelphia-pa-5822.html?cm_mmc=GMapsPet-_-PA-_-Philadelphia-_-5822,facebook.com/PETCO,instagram.com/petco,Pet Services,,,,,,,X,520 S 23rd Street,"Philadelphia, PA 19146",stores.petco.com/pa/philadelphia/pet-supplies-philadelphia-pa-5822.html?cm_mmc=GMapsPet-_-PA-_-Philadelphia-_-5822,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Dog School,,1737,South Street,"Philadelphia, PA 19146",(215) 450-2205,phillydogschool.com/,facebook.com/DogSchoolPhiladelphia/?ref=br_rs,instagram.com/phillydogschool/,Pet Services,,,,,,,X,1737 South Street,"Philadelphia, PA 19146",phillydogschool.com/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
PetSmart,,1415,Washington Avenue,"Philadelphia, PA 19146",(215) 201-3505,petsmart.com/store-locator/store/?storeID=3116&utm_source=google&utm_medium=organic&utm_campaign=google-my-business,facebook.com/PetSmart,instagram.com/petsmart,Pet Services,,,,,,,X,1415 Washington Avenue,"Philadelphia, PA 19146",petsmart.com/store-locator/store/?storeID=3116&utm_source=google&utm_medium=organic&utm_campaign=google-my-business,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Z Dog: Philly's Pet Care,,2617,Washington Avenue,"Philadelphia, PA 19146",(267) 571-9738,zdogwalkers.com/,facebook.com/ZDogz/,instagram.com/zdogpet/,Pet Services,,,,,,,X,2617 Washington Avenue,"Philadelphia, PA 19146",zdogwalkers.com/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Doggie Style Pets South,,2101,South Street,"Philadelphia, PA 19146",(267) 687-8051,doggiestylepets.com/,facebook.com/DoggieStylePets/,instagram.com/doggiestylepets/,Pet Supply / Grooming,,,,,,,X,2101 South Street,"Philadelphia, PA 19146",doggiestylepets.com/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
City Cat Vets,,2210,South Street,"Philadelphia, PA 19146",(215) 545-2287,citycatvets.com/,facebook.com/City-Cat-Vets-1323621447677852/?ref=bookmarks,instagram.com/city_cat_vets,Pets,,,,,,,X,2210 South Street,"Philadelphia, PA 19146",citycatvets.com/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Walgreens,,1800,South Street,"Philadelphia, PA 19146",(267) 273-7585,walgreens.com/locator/walgreens-1800+south+st-philadelphia-pa-19146/id=12084,,,Pharmacy,,,X,,,,X,1800 South Street,"Philadelphia, PA 19146",walgreens.com/locator/walgreens-1800+south+st-philadelphia-pa-19146/id=12084,,,,"Medical, Health, Wellness & Fitness",","
CVS Pharmacy,,2132,South Street,"Philadelphia, PA 19146",(215) 772-1260,cvs.com/store-locator/cvs-pharmacy-address/2132+South+St-Philadelphia-PA-19146/storeid=10090?WT.mc_id=LS_GOOGLE_FS_10090,facebook.com/CVS,,Pharmacy,,,X,,,,X,2132 South Street,"Philadelphia, PA 19146",cvs.com/store-locator/cvs-pharmacy-address/2132+South+St-Philadelphia-PA-19146/storeid=10090?WT.mc_id=LS_GOOGLE_FS_10090,,,,"Medical, Health, Wellness & Fitness",","
Pennmark Pharmacy,,1735,South Street,"Philadelphia, PA 19146",(215) 735-1200,pennmarkpharmacy.com/,facebook.com/Pennmark-pharmacy-427909967614150/,,Medical / Pharmacy,,,X,,,,,1735 South Street,"Philadelphia, PA 19146",pennmarkpharmacy.com/,,,,"Medical, Health, Wellness & Fitness",","
Indego Bike Station,,1505,South Street,"Philadelphia, PA 19146",(844) 446-3346,rideindego.com/stations/,facebook.com/rideindego,instagram.com/rideindego,Physical Fitness,,,,,,,X,1505 South Street,"Philadelphia, PA 19146",rideindego.com/stations/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Exyn Technologies,,2118,Washington Avenue,"Philadelphia, PA 19146",,exyn.com/,,,R&D (UAS),,X,,,,,X,2118 Washington Avenue,"Philadelphia, PA 19146",exyn.com/,,,,Stores & Shopping,","
Keller Williams Philly: Jesse Frank,,728,S Broad Street,"Philadelphia, PA 19146",(610) 324-5579,luxphilly.com/,facebook.com/luxphilly,instagram.com/luxphilly,Real Estate / Realtor,,,,,,,X,728 S Broad Street,"Philadelphia, PA 19146",luxphilly.com/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Tara Management Services,,1502,South Street,"Philadelphia, PA 19146",(484) 483-5519,taramgt.com/,facebook.com/Tara-Management-Services-Inc-100951633310682/?ref=br_rs,,Real Estate / Realtor,,,,,,,X,1502 South Street,"Philadelphia, PA 19146",taramgt.com/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
OCF Realty,,1936,Washington Avenue,"Philadelphia, PA 19146",(215) 735-7368,ocfrealty.com/,facebook.com/ocfrealtyphl/,instagram.com/ocfrealty/,Real Estate / Realtor,,,,,,,X,1936 Washington Avenue,"Philadelphia, PA 19146",ocfrealty.com/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Streamline Property Management,,2301,Washington Avenue,"Philadelphia, PA 19146",(610) 513-0419,streamlinephilly.com/,facebook.com/StreamlineGroupLLC/,instagram.com/streamlinephilly/?hl=en,Real Estate / Realtor,,,,,,,X,2301 Washington Avenue,"Philadelphia, PA 19146",streamlinephilly.com/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Volpe Real Estate Inc,,701,S 20th Street,"Philadelphia, PA 19146",(215) 545-5414,volperealestateinc.com/,facebook.com/VolpeRealEstateInc/,,Real Estate / Realtor,,,,,,,X,701 S 20th Street,"Philadelphia, PA 19146",volperealestateinc.com/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Keller Williams - Geddes Team Realty,,1610,South Street,"Philadelphia, PA 19146",(215) 545-8700,Houses2Homes.biz,facebook.com/thegeddesteam/,,Real Estate / Realtor,,,,,,,X,1610 South Street,"Philadelphia, PA 19146",Houses2Homes.biz,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Coldwell Banker - Welker Real Estate,,1904,South Street,"Philadelphia, PA 19146",(215) 546-3500,welkerre.com/,facebook.com/pages/Coldwell-Banker-Welker-Real-Estate/672562612755360,,Real Estate / Realtor,,,,,,,X,1904 South Street,"Philadelphia, PA 19146",welkerre.com/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Nationwide Insurance - Kevin Halpin,,2003,South Street,"Philadelphia, PA 19146",(215) 997-1834,agency.nationwide.com/kevin-j-halpin-in-philadelphia-pa,twitter.com/nationwide,instagram.com/nationwide/,Insurance,,,,,,,X,2003 South Street,"Philadelphia, PA 19146",agency.nationwide.com/kevin-j-halpin-in-philadelphia-pa,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Best City Homes,,2216,South Street,"Philadelphia, PA 19146",(215) 303-6704,bestcityhomes.com/main/,facebook.com/BestCityHomes,,Real Estate / Realtor,,,,,,,X,2216 South Street,"Philadelphia, PA 19146",bestcityhomes.com/main/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Agent PHL,,2314,South Street,"Philadelphia, PA 19146",(267) 858-0051,agentphl.com/,facebook.com/AgentPHL/about/,,Real Estate / Realtor,,,,,,,X,2314 South Street,"Philadelphia, PA 19146",agentphl.com/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
South Street Sounds,,1531,South Street,"Philadelphia, PA 19146",(215) 732-8259,sssounds.com,facebook.com/south.s.sounds,,Recording Studio,,,,,,,X,1531 South Street,"Philadelphia, PA 19146",sssounds.com,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
YMCA - Christian Street Branch,,1724,Christian Street,"Philadelphia, PA 19146",(215) 735-5800,philaymca.org/,facebook.com/PhiladelphiaFreedomValleyY,,Parks and Recreation,,,,,,,X,1724 Christian Street,"Philadelphia, PA 19146",philaymca.org/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
FITZWATER STREET PHILLY BAGELS,,2001,Fitzwater Street,"Philadelphia, PA 19146",(267) 534-5995,fitzwaterstreetphillybagels.com/,facebook.com/fitzwaterstreetphillybagels/,,Restaurant,X,,,,,,,2001 Fitzwater Street,"Philadelphia, PA 19146",fitzwaterstreetphillybagels.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
L'anima,,1001,S 17th Street,"Philadelphia, PA 19146",(215) 595-2500,lanimaphilly.com/,facebook.com/lanimaphilly/?ref=py_c,,Restaurant,X,,,,,,,1001 S 17th Street,"Philadelphia, PA 19146",lanimaphilly.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
SouthSide Pizza,,917,S 20th Street,"Philadelphia, PA 19146",(215) 985-9200,ordersouthsidepizza.com,facebook.com/pages/Southside-Pizza/120303587986245?ref=br_rs,,Restaurant,X,,,,,,,917 S 20th Street,"Philadelphia, PA 19146",ordersouthsidepizza.com,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Los Camaradas,,918,S 22nd Street,"Philadelphia, PA 19146",(215) 309-3727,loscamaradas.com/,facebook.com/1547751298816579,instagram.com/los.camaradas/?hl=en,Restaurant,X,,,,,,,918 S 22nd Street,"Philadelphia, PA 19146",loscamaradas.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Sweet Freedom Bakery,,1424,South Street,"Philadelphia, PA 19146",(215) 545-1899,sweetfreedombakery.com/,facebook.com/pages/Sweet-Freedom-Bakery-gluten-free-vegan-allergen-friendly/157318098091,,Restaurant,X,,,,,,,1424 South Street,"Philadelphia, PA 19146",sweetfreedombakery.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Vincent GIORDANO  Prosciutto Bakery,,2600,Washington Avenue,"Philadelphia, PA 19146",(215) 467-6629,vgiordano.com/,facebook.com/pages/category/Community/Vincent-Giordano-Corporation-70002335959/,,Restaurant,X,,,,,,,2600 Washington Avenue,"Philadelphia, PA 19146",vgiordano.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Ultimo Coffee,,2149,Catharine Street,"Philadelphia, PA 19146",(215) 545-3565,ultimocoffee.com/,facebook.com/Ultimo-Coffee-56640021126/,instagram.com/ultimocoffee,Restaurant - Coffee House,X,,,,,,,2149 Catharine Street,"Philadelphia, PA 19146",ultimocoffee.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
OCF Coffee House,,1745,South Street,"Philadelphia, PA 19146",(215) 454-2196,ocfcoffeehouse.com,facebook.com/ocfcoffeehouse/,instagram.com/ocfcoffeehouse/,Restaurant - Coffee House,X,,,,,,,1745 South Street,"Philadelphia, PA 19146",ocfcoffeehouse.com,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
La Va Café,,2100,South Street,"Philadelphia, PA 19146",(215) 545-1508,lava-cafe.com/,facebook.com/pages/LaVa-Cafe/291616054339059,,Restaurant - Coffee House,X,,,,,,,2100 South Street,"Philadelphia, PA 19146",lava-cafe.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Starbucks,,2201,South Street,"Philadelphia, PA 19146",(267) 785-1276,starbucks.com/store-locator/store/1017337/22nd-and-south-2201-south-street-philadelphia-pa-19146-us,facebook.com/starbucks,instagram.com/starbucks/,Restaurant - Coffee House,X,,,,,,,2201 South Street,"Philadelphia, PA 19146",starbucks.com/store-locator/store/1017337/22nd-and-south-2201-south-street-philadelphia-pa-19146-us,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Insomnia Cookies,,1420,Carpenter Street,"Philadelphia, PA 19146",(215) 607-8916,insomniacookies.com/locations/store/1209,facebook.com/insomniacookies,instagram.com/insomniacookies/#,Restaurant / Bar,X,,,,,,,1420 Carpenter Street,"Philadelphia, PA 19146",insomniacookies.com/locations/store/1209,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Nam Son Bakery,,1600,Carpenter Street,"Philadelphia, PA 19146",(215) 545-3888,,facebook.com/NamSon-Bakery-481554715360755,,Restaurant / Bar,X,,,,,,,1600 Carpenter Street,"Philadelphia, PA 19146",facebook.com/NamSon-Bakery-481554715360755,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
HAI TIEN RESTAURANT INC,,1600,Carpenter Street,"Philadelphia, PA 19146",(215) 732-8970,,facebook.com/pages/Hai-Tien-Restaurant/111788455523471,,Restaurant / Bar,X,,,,,,,1600 Carpenter Street,"Philadelphia, PA 19146",facebook.com/pages/Hai-Tien-Restaurant/111788455523471,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Xing Wang Restaurant,,1844,Christian Street,"Philadelphia, PA 19146",(215) 893-9652,,facebook.com/pages/Xing-Wang/138004312914160?ref=br_rs,,Restaurant / Bar,X,,,,,,,1844 Christian Street,"Philadelphia, PA 19146",facebook.com/pages/Xing-Wang/138004312914160?ref=br_rs,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
19 Degrees Café,,1847,Christian Street,"Philadelphia, PA 19146",(215) 735-3783,19degreescafe.com/,facebook.com/19Degrees/,,Restaurant / Bar,X,,,,,,,1847 Christian Street,"Philadelphia, PA 19146",19degreescafe.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Sidecar Bar & Grille,,2201,Christian Street,"Philadelphia, PA 19146",(215) 732-3429,thesidecarbar.com/,facebook.com/thesidecarbar/,instagram.com/thesidecarbar,Restaurant / Bar,X,,,,,,,2201 Christian Street,"Philadelphia, PA 19146",thesidecarbar.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Thai Square Restaurant,,2521,Christian Street,"Philadelphia, PA 19146",(215) 454-6683,thaisquarephilly.com/,facebook.com/636340366478960,,Restaurant / Bar,X,,,,,,,2521 Christian Street,"Philadelphia, PA 19146",thaisquarephilly.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
The Igloo,,2223,Grays Ferry Avenue,"Philadelphia, PA 19146",(267) 858-4290,igloodesserts.com/,facebook.com/TheIglooDesserts,instagram.com/the_igloo,Restaurant / Bar,X,,,,,,,2223 Grays Ferry Avenue,"Philadelphia, PA 19146",igloodesserts.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Grace Tavern,,2229,Grays Ferry Avenue,"Philadelphia, PA 19146",(215) 893-9580,gracetavern.com/,facebook.com/Grace-Tavern-113530925346423,instagram.com/gracetavernphilly/,Restaurant / Bar,X,,,,,,,2229 Grays Ferry Avenue,"Philadelphia, PA 19146",gracetavern.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Balkan Express Restaurant,,2237,Grays Ferry Avenue,"Philadelphia, PA 19146",(215) 545-1255,balkanexpressrestaurant.com/,facebook.com/balkanexpressrestaurant/,,Restaurant / Bar,X,,,,,,,2237 Grays Ferry Avenue,"Philadelphia, PA 19146",balkanexpressrestaurant.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Old Towne Pizza & Sanna's,,2301,Grays Ferry Avenue,"Philadelphia, PA 19146",(215) 731-1333,oldtownepizzasannas.com/,facebook.com/Old-Towne-Sannas-540059386144272/?ref=br_rs,,Restaurant / Bar,X,,,,,,,2301 Grays Ferry Avenue,"Philadelphia, PA 19146",oldtownepizzasannas.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Devil's Pocket food & Spirits,,2425,Grays Ferry Avenue,"Philadelphia, PA 19146",(215) 735-2202,devilspocketphilly.com,facebook.com/Devils-Pocket-Food-Spirits-1546674502243484/,,Restaurant / Bar,X,,,,,,,2425 Grays Ferry Avenue,"Philadelphia, PA 19146",devilspocketphilly.com,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Govinda's,,1408,South Street,"Philadelphia, PA 19146",(215) 545-5452,govindasphilly.com/,facebook.com/118469514971218,instagram.com/govindasphilly,Restaurant / Bar,X,,,,,,,1408 South Street,"Philadelphia, PA 19146",govindasphilly.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Pat's Pizza and Pasta,,1410,South Street,"Philadelphia, PA 19146",(215) 790-7287,patspizzapasta.com/,facebook.com/406332679430487,instagram.com/patspizzapasta,Restaurant / Bar,X,,,,,,,1410 South Street,"Philadelphia, PA 19146",patspizzapasta.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Yeeroh,,1412,South Street,"Philadelphia, PA 19146",(215) 545-8000,yeerohphilly.com/,facebook.com/1922947874619271,instagram.com/yeeroh,Restaurant / Bar,X,,,,,,,1412 South Street,"Philadelphia, PA 19146",yeerohphilly.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Jamaican Jerk Hut,,1436,South Street,"Philadelphia, PA 19146",(215) 545-8644,orderjamaicanjerkhut.com/,facebook.com/pages/category/Jamaican-Restaurant/Jamaican-Jerk-Hut-120793297967185/,,Restaurant / Bar,X,,,,,,,1436 South Street,"Philadelphia, PA 19146",orderjamaicanjerkhut.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Coco's Chicken and Waffles,,1437,South Street,"Philadelphia, PA 19146",(215) 982-2689,cocochixnwaffles.imaginationdigitalhosting.com/,facebook.com/cocoschickenandwafflessouthstreet/,instagram.com/cocoschixnwaffs/?hl=en,Restaurant / Bar,X,,,,,,,1437 South Street,"Philadelphia, PA 19146",cocochixnwaffles.imaginationdigitalhosting.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
X O Lounge,,1437,South Street,"Philadelphia, PA 19146",(215) 735-7351,xoloungephilly.com/,,,Restaurant / Bar,X,,,,,,,1437 South Street,"Philadelphia, PA 19146",xoloungephilly.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
PHS - Pop Up Garden,,1438,South Street,"Philadelphia, PA 19146",(215) 988-8800,phsonline.org/popups/southstreet,facebook.com/PHSgardening,instagram.com/phsgardening/,Restaurant / Bar,X,,,,,,,1438 South Street,"Philadelphia, PA 19146",phsonline.org/popups/southstreet,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Little Spoon Cafe,,1500,South Street,"Philadelphia, PA 19146",(267) 587-6559,littlespooncafe.com/,facebook.com/littlespooncafe,instagram.com/littlespooncafe/,Restaurant / Bar,X,,,,,,,1500 South Street,"Philadelphia, PA 19146",littlespooncafe.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
The Cambridge,,1508,South Street,"Philadelphia, PA 19146",(267) 455-0647,cambridgeonsouth.com/,facebook.com/156813707752680,instagram.com/thecambridge,Restaurant / Bar,X,,,,,,,1508 South Street,"Philadelphia, PA 19146",cambridgeonsouth.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
BOB & BARBARA'S LOUNGE,,1509,South Street,"Philadelphia, PA 19146",(215) 545-4511,bobandbarbaras.com/,facebook.com/BobandBarbs/,instagram.com/bobandbarbs,Restaurant / Bar,X,,,,,,,1509 South Street,"Philadelphia, PA 19146",bobandbarbaras.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
The Quick Fixx,,1511,South Street,"Philadelphia, PA 19146",(267) 273-1066,thequickfixx.com/,facebook.com/thequickfixx/,instagram.com/thequickfixx/,Restaurant / Bar,X,,,,,,,1511 South Street,"Philadelphia, PA 19146",thequickfixx.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Rex 1516,,1516,South Street,"Philadelphia, PA 19146",(267) 319-1366,rex1516.com/,facebook.com/rex1516,instagram.com/rex_1516/,Restaurant / Bar,X,,,,,,,1516 South Street,"Philadelphia, PA 19146",rex1516.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
JET WINE BAR LLC,,1525,South Street,"Philadelphia, PA 19146",(215) 735-1116,jetwinebar.com/,facebook.com/WineBarPhilly,instagram.com/jetwinebar,Restaurant / Bar,X,,,,,,,1525 South Street,"Philadelphia, PA 19146",jetwinebar.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Tio Flores,,1600,South Street,"Philadelphia, PA 19146",(267) 687-2220,tioflores.com/,facebook.com/Tiofloresonsouth/?ref=br_rs,instagram.com/tiofloresonsouth/,Restaurant / Bar,X,,,,,,,1600 South Street,"Philadelphia, PA 19146",tioflores.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Entree,,1608,South Street,"Philadelphia, PA 19146",(215) 790-0330,entreebyob.com/,facebook.com/EntreeSouthStBYOB/,instagram.com/entree_byob/,Restaurant / Bar,X,,,,,,,1608 South Street,"Philadelphia, PA 19146",entreebyob.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Founding Fathers Sports Bar & Grill,,1612,South Street,"Philadelphia, PA 19146",(267) 519-0253,foundingfathersbar.com/,facebook.com/foundingfathersbar,instagram.com/ffbarphilly/,Restaurant / Bar,X,,,,,,,1612 South Street,"Philadelphia, PA 19146",foundingfathersbar.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Miles Table,,1620,South Street,"Philadelphia, PA 19146",(215) 651-3040,milestable.com/,facebook.com/MilesTable,instagram.com/milestable/,Restaurant / Bar,X,,,,,,,1620 South Street,"Philadelphia, PA 19146",milestable.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
